AssemblyAccession	GenomeSize	ProteinCount
GCF_003350925.1	5071276	4034
GCF_003351175.1	7077758	6416
GCF_003351225.1	4601888	3957
GCF_003351545.1	2397276	2181
GCF_003351565.1	2200224	2067
GCF_003352165.1	4037611	3652
GCF_003352185.1	6324282	5637
GCF_003353425.1	3293993	2970
GCF_003355195.1	2024930	1861
GCF_003355455.1	3372129	3271
GCF_003355475.1	3720646	3193
GCF_003355495.1	3271767	3021
GCF_003355515.1	1915613	1905
GCF_003363015.1	4931017	4208
GCF_003363155.1	4940170	4164
GCF_003363265.1	4538842	4067
GCF_003363715.1	5101196	3874
GCF_003363775.1	1336077	1137
GCF_003367315.1	3686911	3379
GCF_003367375.1	4071977	3740
GCF_003367395.1	5593741	5241
GCF_003367705.1	3568138	3281
GCF_003367905.1	2652760	2397
GCF_003368325.1	8324638	7142
GCF_003369565.1	4010023	3748
GCF_003369575.1	4051086	3836
GCF_003382565.2	4348076	3831
GCF_003383595.3	740800	609
GCF_003384935.1	3388514	2937
GCF_003385115.1	5124726	4254
GCF_003385555.1	3156146	2977
GCF_003385775.1	2947125	2875
GCF_003385845.1	3752699	3374
GCF_003385895.1	4903770	4026
GCF_003385955.1	4823716	4450
GCF_003386095.1	5966820	4575
GCF_003386165.1	4242526	3639
GCF_003386195.1	3508581	2941
GCF_003386205.1	6342800	5528
GCF_003386235.1	9401845	7522
GCF_003386535.1	6788771	5998
GCF_003386675.1	3592392	3314
GCF_003387095.1	12433659	9651
GCF_003387165.1	2232970	2252
GCF_003387375.1	3870684	3490
GCF_003387535.1	2295583	2137
GCF_003387615.1	3423857	3060
GCF_003391135.1	8809793	7146
GCF_003391255.1	5525520	4815
GCF_003402975.1	3423338	2919
GCF_003403095.1	4701725	4230
GCF_003403135.1	4909058	4188
GCF_003410415.1	5568346	5110
GCF_003423665.1	1521745	1441
GCF_003428925.1	7220839	5984
GCF_003429285.1	4440293	3691
GCF_003429505.1	4138212	3353
GCF_003429565.1	7471434	6515
GCF_003431825.1	4123210	3794
GCF_003432035.1	5946122	5513
GCF_003433335.1	2692540	2334
GCF_003433515.1	3703346	3625
GCF_003433955.1	1825047	1663
GCF_003434235.1	3417494	3090
GCF_003435335.1	3234776	3014
GCF_003443655.1	6684490	5541
GCF_003443895.1	8098302	7138
GCF_003444685.1	4246542	3898
GCF_003444775.1	4157290	3928
GCF_003457595.1	3533904	3184
GCF_003457635.1	2465704	2304
GCF_003459085.1	3744856	3397
GCF_003460035.1	6874143	5039
GCF_003466005.1	6235959	5393
GCF_003467385.1	6740239	6054
GCF_003468475.1	3404640	2904
GCF_003469655.1	5555940	4155
GCF_003470435.1	2959517	2576
GCF_003472935.1	5784588	4273
GCF_003475485.1	3618065	3486
GCF_003491185.1	3739924	2971
GCF_003491245.1	4955171	4365
GCF_003515075.1	3541169	3310
GCF_003515105.1	4733916	4026
GCF_003515775.1	3785739	3568
GCF_003515985.1	4015569	3363
GCF_003516125.1	4437993	4036
GCF_003516145.1	3992782	3356
GCF_003522965.1	1842084	1679
GCF_003534205.1	3406292	3121
GCF_003544815.1	2639269	2561
GCF_003544835.1	1969846	1974
GCF_003544855.1	2917098	2750
GCF_003544875.1	4910231	3830
GCF_003544895.1	3558757	3483
GCF_003544915.1	2799949	2766
GCF_003544935.1	2800582	2701
GCF_003546865.1	2572159	2274
GCF_003550015.1	2199979	1923
GCF_003550065.1	4524961	4252
GCF_003555545.1	8443189	6370
GCF_003568585.1	3073341	2875
GCF_003568665.1	6129793	4855
GCF_003568725.1	3764648	3323
GCF_003568825.1	4967522	4129
GCF_003568845.1	5374982	4799
GCF_003568965.1	4092510	3439
GCF_003568985.1	3713626	3146
GCF_003569005.1	4718577	4074
GCF_003569765.1	5470035	4859
GCF_003569805.1	3545733	3180
GCF_003570715.1	4661677	4441
GCF_003570845.1	1247407	1162
GCF_003571485.1	4980322	4257
GCF_003573535.1	2469957	2350
GCF_003574215.1	2288780	2155
GCF_003574395.1	3653867	3537
GCF_003574465.1	7502080	6677
GCF_003574965.1	4188814	3545
GCF_003575225.1	5843819	5109
GCF_003575965.1	4445201	4001
GCF_003576245.1	3203764	3070
GCF_003576345.1	3327924	3198
GCF_003576475.1	6145806	4768
GCF_003576535.1	5430123	4509
GCF_003576595.1	3252977	3000
GCF_003577475.1	3700607	3399
GCF_003579925.1	6500878	6133
GCF_003581615.1	3721101	3311
GCF_003583365.1	7799645	6478
GCF_003583985.1	4701328	3937
GCF_003584015.1	4380877	3990
GCF_003584105.1	4101660	3580
GCF_003584645.1	6088916	5314
GCF_003584685.1	1937632	1722
GCF_003585765.1	4974797	4217
GCF_003586305.1	3120411	2819
GCF_003589745.1	2810441	2434
GCF_003589885.1	6800142	6050
GCF_003589925.1	8241389	6673
GCF_003590145.2	4094723	3739
GCF_003594885.1	4045354	3710
GCF_003595235.1	9512378	8161
GCF_003595305.1	5810927	4952
GCF_003595525.1	2067971	1879
GCF_003598715.1	7362956	6598
GCF_003600245.1	6978358	6005
GCF_003600355.1	2819963	2467
GCF_003600625.1	4099663	3331
GCF_003604195.1	3712388	3361
GCF_003605385.1	4311621	3961
GCF_003605405.2	5302661	5132
GCF_003606265.1	3404718	3013
GCF_003606285.1	1283624	1235
GCF_003606325.2	2276164	1781
GCF_003606345.3	2186621	1678
GCF_003606365.2	2714973	2393
GCF_003609975.1	2090539	1803
GCF_003609995.1	2725161	2067
GCF_003610015.1	3028543	2574
GCF_003610355.1	6733110	5455
GCF_003610495.1	3403958	3368
GCF_003610535.1	5800440	4526
GCF_003610555.1	5169742	4088
GCF_003610635.1	3009115	2721
GCF_003610735.1	2869467	2613
GCF_003610775.1	4474452	3989
GCF_003611035.1	4385465	3989
GCF_003612015.1	4851875	4476
GCF_003614185.1	5611962	4765
GCF_003614435.1	7224251	6310
GCF_003614855.1	6934298	5505
GCF_003614915.1	3230937	3047
GCF_003626515.1	1902053	1697
GCF_003626695.1	8283483	7043
GCF_003626895.1	7931441	7254
GCF_003626915.1	2786235	2680
GCF_003627055.1	3677803	3543
GCF_003627075.1	3097107	2863
GCF_003627135.1	2009598	1818
GCF_003627155.1	1972481	1802
GCF_003627755.1	8025568	7104
GCF_003627815.1	8393044	7065
GCF_003627965.1	2886683	2759
GCF_003628125.1	6642683	5551
GCF_003628435.1	3534833	3371
GCF_003628445.1	4041242	3799
GCF_003628755.1	2969292	2782
GCF_003633715.1	1621718	1669
GCF_003633725.1	1879126	1692
GCF_003633755.1	7135497	6526
GCF_003633895.1	3621567	3345
GCF_003634015.1	2778231	2555
GCF_003634045.1	3568848	3322
GCF_003634095.1	4312407	3752
GCF_003634105.1	3889815	3305
GCF_003634275.1	2357783	2088
GCF_003634455.1	3745791	3289
GCF_003634585.1	3586284	3184
GCF_003634695.1	4187555	3821
GCF_003634705.1	7528180	6573
GCF_003634775.1	3712841	3358
GCF_003634965.1	3546071	3314
GCF_003640645.1	5922051	5486
GCF_003641145.1	3368529	3065
GCF_003641185.1	3671373	3152
GCF_003641245.1	2738835	2327
GCF_003646465.1	5040141	4660
GCF_003651225.1	3118122	2889
GCF_003660105.1	2108340	2074
GCF_003663795.1	7615874	6447
GCF_003664035.1	6037645	4905
GCF_003664125.1	3429284	3367
GCF_003664325.1	2952137	2648
GCF_003665435.1	7667496	6606
GCF_003667345.1	2919928	2825
GCF_003667675.1	2879781	2690
GCF_003667885.1	3958372	3816
GCF_003667905.1	5446032	4956
GCF_003668575.1	4485249	4338
GCF_003668795.1	4557927	3892
GCF_003670275.1	2092193	1999
GCF_003670295.1	1803884	1721
GCF_003671975.1	6079134	5422
GCF_003674065.1	4108260	3909
GCF_003675895.1	4777983	4076
GCF_003687415.1	3797724	3413
GCF_003687485.1	4707469	3971
GCF_003688405.1	3845875	3323
GCF_003688415.1	2689440	2383
GCF_003688665.1	1604000	1641
GCF_003688895.1	3651050	3174
GCF_003691585.1	3398411	3176
GCF_003696215.1	9356375	8418
GCF_003696235.1	6563286	5558
GCF_003696265.1	7545798	6521
GCF_003697185.1	6339577	5937
GCF_003699905.1	5956912	5185
GCF_003701315.1	6053458	5225
GCF_003701615.1	5682383	4821
GCF_003703975.1	6928978	5821
GCF_003710105.1	3432109	2917
GCF_003711085.1	2816102	2674
GCF_003711105.1	8287152	6972
GCF_003711845.1	3548511	3523
GCF_003713065.1	5289049	4737
GCF_003716585.1	2287550	2047
GCF_003721155.3	3481073	3266
GCF_003721515.1	5671207	4488
GCF_003721565.1	4772155	3921
GCF_003722295.1	4416922	3914
GCF_003722315.1	2911280	2638
GCF_003722335.1	5659202	5049
GCF_003725415.1	2222132	2215
GCF_003725535.1	4923315	4696
GCF_003725695.1	4457833	4308
GCF_003725775.1	3828516	3791
GCF_003731635.1	4987953	4396
GCF_003751265.1	3839029	3393
GCF_003751385.1	3423351	2944
GCF_003751625.1	4190752	3871
GCF_003752585.1	4398449	3763
GCF_003789055.1	4353039	4068
GCF_003795125.1	2384293	2137
GCF_003795375.1	5284651	4822
GCF_003797885.1	4722637	3920
GCF_003798325.1	3072768	2512
GCF_003812345.1	5102161	4672
GCF_003812505.1	2257431	2127
GCF_003813965.1	2986773	2042
GCF_003813985.1	2263210	2052
GCF_003814005.1	2348160	2151
GCF_003814555.1	3585771	3143
GCF_003814815.1	2841072	2726
GCF_003814915.1	3084248	2898
GCF_003815035.1	1796177	1752
GCF_003815615.1	4390955	3827
GCF_003815695.1	5459074	4782
GCF_003815775.1	4890621	4360
GCF_003815875.1	5618212	4895
GCF_003815915.1	4253895	3795
GCF_003815975.1	5318634	4684
GCF_003838225.1	8133347	5760
GCF_003843835.1	2733067	2513
GCF_003846135.1	4503018	3879
GCF_003851125.1	3619383	3463
GCF_003851555.1	6562330	5825
GCF_003852045.1	5919814	5135
GCF_003855095.1	5962176	5244
GCF_003855395.1	4839879	3994
GCF_003855455.1	737591	618
GCF_003856375.1	4606342	3802
GCF_003856495.1	2751094	2648
GCF_003856865.1	4259757	3879
GCF_003858535.1	3006188	2820
GCF_003858635.1	8176205	6420
GCF_003860325.1	4858869	4381
GCF_003860525.1	3276391	2912
GCF_003860585.1	3230102	2883
GCF_003862485.1	2800999	2464
GCF_003863335.1	4240178	3891
GCF_003863965.1	8108289	6944
GCF_003864415.1	2529335	2345
GCF_003864975.1	2834181	2723
GCF_003865095.1	5195089	4823
GCF_003865365.1	3368147	3038
GCF_003865405.1	3453487	3173
GCF_003867075.1	3344178	2964
GCF_003885105.1	2972201	2726
GCF_003892345.1	3827229	2816
GCF_003917135.1	3195088	2775
GCF_003925875.1	3212924	2934
GCF_003925935.1	805917	629
GCF_003931795.1	1722938	1371
GCF_003931855.1	5288676	4442
GCF_003932715.1	8019548	6343
GCF_003932995.1	4038634	3575
GCF_003933745.1	5240684	4714
GCF_003934165.1	5448824	4881
GCF_003935055.1	8916703	7297
GCF_003935525.1	3700425	3354
GCF_003935895.2	4713964	4345
GCF_003937945.1	10230128	9286
GCF_003940805.1	4387422	4156
GCF_003944755.1	3712677	3564
GCF_003945325.1	2965302	2873
GCF_003945345.1	7261317	6237
GCF_003945365.1	2454371	2286
GCF_003945385.1	7535285	6886
GCF_003946885.1	4313802	3851
GCF_003952225.1	6632345	5813
GCF_003952265.1	2608471	2351
GCF_003952725.1	4356607	4128
GCF_003952825.1	2192395	1655
GCF_003955665.1	7421650	6159
GCF_003955715.1	10393987	9127
GCF_003955735.1	4910324	4184
GCF_003955755.1	2950593	2621
GCF_003957295.1	5233924	3983
GCF_003957745.1	4858998	4094
GCF_003963535.1	10677137	8962
GCF_003963555.1	1903815	1724
GCF_003966265.1	5392127	4442
GCF_003966335.1	2872100	2572
GCF_003966625.1	2598513	2401
GCF_003966655.1	2921399	2725
GCF_003966715.1	3949390	3518
GCF_003966735.1	3720107	3340
GCF_003966875.1	2067831	1664
GCF_003966895.1	4781198	4145
GCF_003966915.1	2795004	2262
GCF_003966955.1	1796691	1548
GCF_003966975.1	3519887	3074
GCF_003967035.1	2874969	2598
GCF_003967095.1	4036662	3730
GCF_003967195.1	3111340	3056
GCF_003967275.1	2720636	2692
GCF_003967355.1	12054215	9923
GCF_003970355.1	3820548	3260
GCF_003970425.1	6568793	5698
GCF_003970495.1	2462952	2306
GCF_003970675.1	6680108	5040
GCF_003970735.1	4351658	4217
GCF_003971235.1	5069854	4413
GCF_003977605.1	2691540	2118
GCF_003977615.1	4218720	3683
GCF_003977665.1	5488740	4639
GCF_003977685.1	6760005	5003
GCF_003985135.1	6611877	6250
GCF_003985145.1	7122203	6595
GCF_003985155.1	7115113	6598
GCF_003989135.1	4547591	4214
GCF_003989795.1	3907727	3403
GCF_003990185.1	4029604	3659
GCF_003990445.1	4839526	4648
GCF_003990665.1	2571271	2422
GCF_003991135.1	3557532	3103
GCF_003991195.1	4525614	3702
GCF_003991355.1	6708514	5220
GCF_003991425.1	6497679	5541
GCF_003991565.1	4976422	4109
GCF_003991855.1	3906890	3672
GCF_003991875.1	3555647	3248
GCF_003991895.1	8099003	7540
GCF_003991975.1	3337477	3029
GCF_003992615.1	3774563	3347
GCF_003992665.1	3842394	3601
GCF_003992675.1	3418902	2992
GCF_003993795.1	4516483	3939
GCF_003994255.1	3783832	3249
GCF_003994475.1	6069163	5421
GCF_003996965.1	5929114	4927
GCF_003999255.1	2905633	2562
GCF_003999335.1	3814300	3266
GCF_003999355.1	1601193	1458
GCF_003999375.1	2469486	2251
GCF_004000255.1	4635959	4477
GCF_004000275.1	4712158	4134
GCF_004000605.1	3019659	2815
GCF_004001245.1	3246214	3185
GCF_004001325.1	2537035	2181
GCF_004005935.1	3681520	3492
GCF_004006175.1	5080916	4625
GCF_004006375.1	3727795	3330
GCF_004006435.1	4154245	4022
GCF_004006515.1	5168640	4531
GCF_004011115.1	3436894	3150
GCF_004011805.1	7085614	6530
GCF_004011885.1	3263170	2697
GCF_004011905.1	4979656	4310
GCF_004014775.2	3153180	2784
GCF_004014855.1	3293048	2862
GCF_004015795.1	2982257	2818
GCF_004022465.1	4146544	3919
GCF_004023625.1	10446772	8414
GCF_004025325.1	2472972	2292
GCF_004028235.1	3211982	2817
GCF_004028275.1	2612894	2389
GCF_004028635.1	9833661	8286
GCF_004054105.1	4059775	3795
GCF_004063735.1	5242327	5020
GCF_004087915.1	2997552	2697
GCF_004089895.1	4685999	4225
GCF_004101785.1	2356157	2192
GCF_004101845.1	1916521	1813
GCF_004102025.1	3988549	3188
GCF_004102045.2	1664394	1613
GCF_004103825.1	4621517	4209
GCF_004114535.1	8290088	7397
GCF_004114895.1	2370062	2113
GCF_004114915.1	8200121	7464
GCF_004114935.1	9342022	8200
GCF_004114955.1	8138177	7370
GCF_004114975.1	8437991	7646
GCF_004116975.1	3930735	3426
GCF_004117055.1	5374818	4911
GCF_004117075.1	2266449	1955
GCF_004117095.1	6509090	5686
GCF_004117935.1	7597003	6496
GCF_004122095.1	4340104	3624
GCF_004124235.1	4803435	4213
GCF_004134825.1	4291429	3960
GCF_004134865.1	4009498	3581
GCF_004134885.2	3920227	3823
GCF_004135285.1	3790483	3431
GCF_004135345.1	3848642	3097
GCF_004135365.1	4228822	3655
GCF_004135405.1	3683091	3177
GCF_004135935.1	3298588	3136
GCF_004135975.1	4688868	4072
GCF_004137085.1	5801291	5270
GCF_004137785.1	5094003	4437
GCF_004138325.1	7367609	6061
GCF_004138485.1	9374132	7529
GCF_004138495.1	7609351	5945
GCF_004138525.1	5539514	5040
GCF_004150225.1	3953029	3511
GCF_004153445.1	4148464	3848
GCF_004168365.1	4728975	3942
GCF_004208415.1	11340617	9462
GCF_004208535.1	5204106	4714
GCF_004208635.1	3478815	3017
GCF_004209755.1	7504949	6059
GCF_004212215.1	5718148	4714
GCF_004214795.1	2657991	2576
GCF_004216495.1	865472	679
GCF_004216555.1	6627535	6467
GCF_004216565.1	4651965	4005
GCF_004216575.1	2544518	2387
GCF_004216665.1	3838279	3552
GCF_004216775.1	3462725	3159
GCF_004216895.1	3880543	3352
GCF_004216915.1	4315149	3928
GCF_004217095.1	4916170	4426
GCF_004217115.1	4003489	3196
GCF_004217175.1	3618231	3071
GCF_004217215.1	3942086	3636
GCF_004217225.1	3450622	3136
GCF_004217445.1	3682372	3286
GCF_004283785.1	1881656	1675
GCF_004284785.1	4200830	3648
GCF_004291315.1	7771874	5932
GCF_004293625.1	2829883	2419
GCF_004295125.1	3658040	3526
GCF_004295345.1	4718011	3762
GCF_004295585.1	7059027	6020
GCF_004295665.1	4275717	3665
GCF_004296255.1	2819202	2693
GCF_004299785.2	2018219	2012
GCF_004300825.1	3980161	3552
GCF_004305975.1	6150387	4969
GCF_004306155.1	4376879	3837
GCF_004306555.1	7598116	7061
GCF_004307415.1	2530665	2208
GCF_004319545.1	5157696	4350
GCF_004322755.1	7437157	6047
GCF_004322855.1	4637169	4116
GCF_004323185.1	7313429	5655
GCF_004323615.1	4787082	4162
GCF_004323635.1	4836481	4365
GCF_004328535.1	2842604	2360
GCF_004328555.1	4232912	3874
GCF_004328625.1	6426245	5668
GCF_004328865.1	4597803	3915
GCF_004328885.1	2883701	2547
GCF_004331955.1	3539672	3396
GCF_004332295.1	1959824	1586
GCF_004335085.1	5263887	4456
GCF_004336975.1	4342103	3790
GCF_004337505.1	3958893	3294
GCF_004337705.1	3035128	3039
GCF_004339015.1	4491576	3958
GCF_004339025.1	2267688	2067
GCF_004339085.1	2916906	2771
GCF_004339545.1	3969436	3507
GCF_004339575.1	1621410	1631
GCF_004339595.1	4979947	4414
GCF_004339625.1	2486773	2305
GCF_004339725.1	4213726	3425
GCF_004339805.1	4632311	4416
GCF_004340125.1	2932766	2704
GCF_004340205.1	3861100	3102
GCF_004340665.1	5193952	4267
GCF_004340685.1	5983490	5232
GCF_004340805.1	4251438	3658
GCF_004340905.1	5075359	4681
GCF_004340975.1	2716364	2570
GCF_004341035.1	4660335	4450
GCF_004341165.1	4230836	3742
GCF_004341205.1	2900938	2899
GCF_004341235.1	4735576	3883
GCF_004341245.1	4397582	3831
GCF_004341375.1	3358756	2833
GCF_004341385.1	2641702	2299
GCF_004341885.1	6590828	6254
GCF_004341915.1	7793256	6141
GCF_004342005.1	3892807	3610
GCF_004342165.1	3061098	2810
GCF_004342175.1	4073386	3545
GCF_004342405.1	4034972	3548
GCF_004342425.1	4280142	3594
GCF_004342445.1	3789126	3612
GCF_004342485.1	5771016	5195
GCF_004342585.1	4215120	3780
GCF_004342665.1	3879021	3387
GCF_004342725.1	2716742	2443
GCF_004342885.1	2424111	2380
GCF_004342905.1	3015078	2937
GCF_004343035.1	3167958	3090
GCF_004343075.1	3948575	3762
GCF_004343155.1	3830035	3289
GCF_004343255.1	3280348	3158
GCF_004343355.1	2248613	2126
GCF_004343505.1	3155944	3007
GCF_004345565.1	5756466	4661
GCF_004345615.1	4472281	3298
GCF_004345645.1	12011259	10350
GCF_004345735.1	3350627	3208
GCF_004345745.1	1945534	1773
GCF_004345825.1	3712900	3272
GCF_004345905.1	3017800	2868
GCF_004346105.1	7271010	6214
GCF_004346185.1	5162879	4577
GCF_004346195.1	3781903	3485
GCF_004346645.1	2870308	2696
GCF_004346845.1	2958316	2669
GCF_004348195.1	3727857	3251
GCF_004348825.1	5828278	4748
GCF_004353865.1	4905973	4620
GCF_004354305.1	4719362	4016
GCF_004354365.1	3903523	3344
GCF_004354645.1	1660517	1589
GCF_004355225.1	4217227	3459
GCF_004358035.1	4338560	3740
GCF_004358105.1	4430078	3767
GCF_004358325.1	3020651	2635
GCF_004358345.1	5468749	4153
GCF_004358425.1	2416000	2324
GCF_004358445.1	4222191	3606
GCF_004358675.1	4226543	3902
GCF_004359005.1	5599206	5233
GCF_004359375.1	1616430	1491
GCF_004360145.1	3133413	2984
GCF_004361735.1	5464470	4798
GCF_004362145.1	3882032	3427
GCF_004362375.1	4430401	4044
GCF_004362405.1	4358700	3844
GCF_004362495.1	7022989	6425
GCF_004362525.1	6368575	5619
GCF_004362535.1	2342758	2137
GCF_004362665.1	3211787	2772
GCF_004362695.1	5747986	5423
GCF_004362715.1	5251143	4469
GCF_004362805.1	4176921	3601
GCF_004362825.1	8317180	7581
GCF_004362855.1	4204494	3601
GCF_004362865.1	3337963	2890
GCF_004362975.1	2286758	2068
GCF_004363005.1	3266771	3052
GCF_004363035.1	2832987	2560
GCF_004363045.1	4382167	4076
GCF_004363075.1	5253007	4463
GCF_004363095.1	6465222	6164
GCF_004363175.1	3467317	3320
GCF_004363235.1	4189767	3778
GCF_004363245.1	5485389	4551
GCF_004363295.1	2214771	1974
GCF_004363305.1	3854463	3512
GCF_004363315.1	2790625	2630
GCF_004363335.1	3343788	2875
GCF_004363555.1	4021263	3636
GCF_004363595.1	2867858	2819
GCF_004363655.1	7269264	5657
GCF_004363725.1	4522399	4256
GCF_004363775.1	2427609	2216
GCF_004363805.1	4036026	3753
GCF_004363965.1	3187944	3005
GCF_004364155.1	3103119	2894
GCF_004364165.1	4455565	3766
GCF_004364175.1	4281860	3681
GCF_004364315.1	3553220	3218
GCF_004364345.1	5828112	4568
GCF_004364445.1	5031827	4502
GCF_004364575.1	3064923	2623
GCF_004364585.1	2948026	2591
GCF_004364635.1	3318232	3005
GCF_004364935.1	5398980	4777
GCF_004364975.1	3564323	3019
GCF_004365095.1	836283	678
GCF_004365165.1	870663	659
GCF_004365405.1	3749952	3459
GCF_004365425.1	7371895	6719
GCF_004365555.1	1710465	1524
GCF_004365575.1	2218931	2018
GCF_004365595.1	3958645	3562
GCF_004365685.1	3358867	3077
GCF_004365765.1	6628093	5779
GCF_004365815.1	2461343	2259
GCF_004365965.1	4429538	4066
GCF_004366375.1	2831374	2593
GCF_004366595.1	7502960	6458
GCF_004366715.1	3223525	2837
GCF_004366735.1	2906943	2756
GCF_004366795.1	2946319	2788
GCF_004366815.1	3347494	2966
GCF_004367585.1	3972524	3619
GCF_004367745.1	5691775	4966
GCF_004368925.1	4707503	3800
GCF_004369005.1	4298726	3831
GCF_004378255.1	4419787	3863
GCF_004378585.1	3642663	3100
GCF_004379295.1	3253966	3025
GCF_004379335.1	1164642	1021
GCF_004402015.1	3242837	3362
GCF_004405125.1	3424270	3391
GCF_004421025.1	4396536	3528
GCF_004421105.1	4022640	3600
GCF_004519315.1	6422970	5591
GCF_004522175.1	4200079	3913
GCF_004522235.1	9571567	8678
GCF_004526345.1	3712913	3124
GCF_004551665.1	3945801	3309
GCF_004564075.1	2919864	2735
GCF_004564155.1	2967881	2582
GCF_004564355.1	3828279	3639
GCF_004564375.1	4017744	3834
GCF_004681125.1	3257822	3046
GCF_004683865.2	4925228	4448
GCF_004683965.1	3974362	3763
GCF_004684245.1	2447659	2383
GCF_004684905.1	3739998	3870
GCF_004684935.1	3654870	3498
GCF_004723625.1	8901643	7847
GCF_004745595.1	3563867	3068
GCF_004758605.1	4346844	4112
GCF_004761865.1	4431246	4084
GCF_004766045.1	6122266	5671
GCF_004766125.1	3551896	3106
GCF_004768465.1	4335798	3960
GCF_004768745.1	5256558	4831
GCF_004770745.1	3988113	3667
GCF_004771075.1	2216758	1955
GCF_004791675.1	4696900	4001
GCF_004792415.1	4790329	4279
GCF_004793685.1	3426473	3302
GCF_004795735.1	2477061	2112
GCF_004795745.1	2525732	2405
GCF_004797125.1	3130338	2607
GCF_004798685.1	3909366	3364
GCF_004798725.1	7414561	6552
GCF_004801125.1	5024923	4575
GCF_004802515.1	4210001	3984
GCF_004802635.2	4727788	4119
GCF_004803795.1	2571679	2246
GCF_004803815.1	2097887	1952
GCF_004803875.1	3333272	2822
GCF_004803895.1	8876928	7553
GCF_004803915.1	3691168	3036
GCF_004833285.1	3974686	3376
GCF_004834005.1	8097302	6050
GCF_004851605.1	4258501	3670
GCF_004912155.1	5399008	4885
GCF_004912195.1	4075875	3820
GCF_004912275.1	5820492	5229
GCF_004919045.1	3779885	3368
GCF_004919685.1	8273529	7636
GCF_004924335.1	4776697	4529
GCF_004936435.1	2365873	1885
GCF_004959935.1	3972354	3936
GCF_005048855.1	5406411	4371
GCF_005049105.1	5780041	4668
GCF_005083985.2	1871566	1962
GCF_005121165.1	3576111	3349
GCF_005144425.1	5081981	4667
GCF_005144885.1	7354671	6828
GCF_005144905.1	5074401	4283
GCF_005146945.1	7908520	7545
GCF_005221285.1	2231882	1988
GCF_005221305.1	2195659	1944
GCF_005222225.1	4123530	3559
GCF_005233845.1	5883685	4658
GCF_005239095.1	3632536	3323
GCF_005280195.1	7836436	6761
GCF_005280215.1	8503469	7100
GCF_005280275.1	3443290	2998
GCF_005280315.1	7426165	6080
GCF_005280655.1	3588860	3405
GCF_005281455.1	3824973	3449
GCF_005281475.1	6064527	4644
GCF_005281815.1	5295939	4609
GCF_005281835.1	5189300	4601
GCF_005377625.1	3365583	2893
GCF_005404815.1	3023058	2598
GCF_005405165.1	2845990	2634
GCF_005405405.1	2762064	2558
GCF_005405465.1	1974613	1882
GCF_005405885.1	6115205	5508
GCF_005434915.1	3258548	3006
GCF_005434945.1	4404788	3956
GCF_005434965.1	4319764	4107
GCF_005484945.1	4028093	3364
GCF_005484965.1	4891702	4319
GCF_005497185.1	4836128	4311
GCF_005518185.1	3168918	2997
GCF_005577315.1	4018990	3911
GCF_005768555.2	10364704	8724
GCF_005771565.1	2791466	2547
GCF_005786655.1	10225480	8702
GCF_005843985.1	1685887	1744
GCF_005844085.1	4788108	4291
GCF_005844135.1	3794810	3422
GCF_005844565.1	4011075	3800
GCF_005845345.1	1424253	1337
GCF_005860765.1	6199851	4892
GCF_005860805.1	6408711	5338
GCF_005862185.2	6782610	6201
GCF_005862235.1	4897614	4423
GCF_005862305.2	7533049	6979
GCF_005862345.1	2902433	2622
GCF_005864065.1	8152858	6803
GCF_005864225.1	2963205	2699
GCF_005870035.1	6331250	5166
GCF_005871085.1	5013287	4389
GCF_005871185.1	3488419	3224
GCF_005877005.1	3766448	3460
GCF_005877885.1	6372092	4631
GCF_005886435.1	2230588	1734
GCF_005886755.1	2638027	2615
GCF_005887635.2	5468583	4680
GCF_005890135.1	2999408	2552
GCF_005925325.1	4618610	3929
GCF_005925345.1	4976191	4111
GCF_005930355.1	7041010	6020
GCF_005931095.1	4998879	4074
GCF_005938195.1	3702288	3304
GCF_005938385.1	8791003	7279
GCF_005952805.1	4084412	3736
GCF_005960665.1	2693465	2686
GCF_006007885.1	3969381	3819
GCF_006007945.1	2648769	2548
GCF_006094275.1	3309128	2906
GCF_006094375.1	2491058	2234
GCF_006094695.1	3946651	3478
GCF_006113225.1	4487548	3986
GCF_006148925.1	3144584	2795
GCF_006149045.1	6477094	5127
GCF_006159205.1	4353683	3615
GCF_006228185.1	803230	593
GCF_006265115.1	3314558	3046
GCF_006265175.1	9652120	7953
GCF_006334135.1	953874	733
GCF_006335005.1	4483902	4140
GCF_006337085.1	2987884	2392
GCF_006337125.1	3463442	3016
GCF_006337165.1	5086993	4126
GCF_006345825.1	7796941	6246
GCF_006351925.1	3805212	3383
GCF_006363815.1	5346804	4630
GCF_006363915.1	2603080	2398
GCF_006364355.1	4993326	4466
GCF_006381105.1	4583336	3521
GCF_006385135.1	4189011	3598
GCF_006385555.1	4648537	3857
GCF_006385595.1	4610696	4099
GCF_006439335.1	4139778	3538
GCF_006459125.1	3016922	2931
GCF_006475605.1	3219428	2866
GCF_006476065.1	2358757	2214
GCF_006476605.1	3742416	3388
GCF_006491595.2	4753655	4140
GCF_006494775.1	6220618	5609
GCF_006494815.1	4434294	3850
GCF_006503695.1	2369572	2252
GCF_006517175.1	8047306	5882
GCF_006517625.1	4655478	4151
GCF_006542275.1	5619468	4577
GCF_006542335.1	2577002	2165
GCF_006542355.1	2193407	2003
GCF_006542375.1	1945529	1630
GCF_006542645.1	3507492	2857
GCF_006542665.1	3301347	2631
GCF_006542685.1	2962376	2383
GCF_006542765.1	8511810	6889
